F,Nhóm chức năng,Tên chức năng,Mô tả ngắn,Dev phụ trách,Ưu tiên,Độ khó,Trạng thái hiện tại,Ghi chú (update 1:20 sáng 10/1),Ngày kết thúc (plan),Ghi chú
48,Project Workspace & Task,Staff nhận lời mời Project,Staff xem thông tin project và accept/decline.,Ân,P1,Trung bình,0%,,,
49,Project Workspace & Task,Task Board dạng Kanban,Board TODO/IN_PROGRESS/DONE cho các task trong project.,Ân,P1,Khó,100%,,,
50,Project Workspace & Task,Tạo Task,"Broker/Freelancer tạo task, gán milestone và assignee.",Ân,P1,Trung bình,100%,,,
51,Project Workspace & Task,Freelancer cập nhật trạng thái Task,"Freelancer kéo thả hoặc đổi trạng thái task, lưu lịch sử.",Ân,P1,Khó,75%,,,
52,Project Workspace & Task,Đính kèm minh chứng cho Task,Upload file/link demo làm minh chứng cho task.,Ân,P1,Khó,25%,,,
53,Project Workspace & Task,Tính % hoàn thành Milestone,Tính toán % dựa trên số task DONE trong milestone.,Ân,P1,Khó,100%,,,
54,Project Workspace & Task,Freelancer yêu cầu nghiệm thu Milestone,"Freelancer gửi request review cho milestone, set PENDING_REVIEW.",Ân,P1,Trung bình,0%,,,
55,Project Workspace & Task,Giao diện Staff review Milestone,"Staff xem task, minh chứng, comment đánh giá.",Ân,P1,Khó,0%,,,
56,Project Workspace & Task,Staff đề xuất ACCEPT/REJECT,Staff chọn đề xuất chấp nhận hoặc từ chối milestone.,Ân,P1,Trung bình,0%,,,
57,Project Workspace & Task,Client quyết định nghiệm thu,Client xem minh chứng + đề xuất Staff rồi Accept/Reject milestone.,Ân,P1,Khó,0%,,,
58,Project Workspace & Task,Xử lý backend khi Client Accept,"Khi Client Accept milestone, cập nhật trạng thái và gọi release escrow.",Ân,P1,Khó,0%,,,
59,"Rating, Trust & Dispute & Admin",Client đánh giá Freelancer/Broker/Staff,"Sau khi project hoàn thành, Client rating 1–5 sao + comment.",Bằng,P1,Trung bình,50%,ReviewModule đã có,,
60,"Rating, Trust & Dispute & Admin",Lưu & hiển thị rating trên profile,"Tính số rating, điểm trung bình và hiển thị trên profile user.",Bằng,P1,Trung bình,50%,TrustScoreModule đã có,,
61,"Rating, Trust & Dispute & Admin",Tính Trust Score cơ bản,Tính điểm uy tín dựa trên rating trung bình và số project hoàn thành.,Bằng,P1,Khó,50%,Logic tính toán đã có,,
62,"Rating, Trust & Dispute & Admin",Gán huy hiệu New / Verified / Trusted,Gán badge dựa trên Trust Score và trạng thái KYC.,Bằng,P1,Trung bình,0%,Logic badge chưa rõ,,
63,"Rating, Trust & Dispute & Admin",Hiển thị Trust Score & thống kê tranh chấp,"Hiển thị Trust Score, số project, số tranh chấp trên profile.",Bằng,P1,Trung bình,50%,,,
64,"Rating, Trust & Dispute & Admin",Flow tạo Dispute,"Client hoặc Freelancer mở tranh chấp cho một milestone, nhập lý do + minh chứng.",Bằng,P1,Trung bình,0%,Chưa thấy Dispute Service,,
65,"Rating, Trust & Dispute & Admin",Chi tiết Dispute cho các bên,"Xem timeline trao đổi, minh chứng, trạng thái dispute.",Bằng,P1,Khó,0%,,,
66,"Rating, Trust & Dispute & Admin",Admin list Dispute,"Admin xem danh sách dispute, filter theo trạng thái, user, project.",Bằng,P1,Trung bình,0%,,,
67,"Rating, Trust & Dispute & Admin",Admin xử lý Dispute,"Admin xem spec, contract, log, minh chứng và chọn kết luận bên nào sai.",Bằng,P1,Khó,0%,,,
68,"Rating, Trust & Dispute & Admin",Áp dụng kết quả Dispute lên Escrow,Cập nhật phân bổ escrow ảo theo quyết định của Admin.,Bằng,P1,Khó,0%,,,
69,"Rating, Trust & Dispute & Admin",Update Trust Score sau khi kết thúc Dispute,Điều chỉnh Trust Score cho bên thua tranh chấp.,Bằng,P1,Khó,0%,,,
70,"Rating, Trust & Dispute & Admin",Audit Log backend,"Middleware ghi lại các hành động quan trọng (ai, làm gì, lúc nào, đối tượng).",Bằng,P1,Khó,100%,AuditLogsModule đã implement,,
71,"Rating, Trust & Dispute & Admin",Màn Admin xem Audit Log,"Admin xem log, filter theo user, project, thời gian.",Bằng,P1,Khó,50%,Controller đã có,,
72,Communication,Hệ thống thông báo Real-time,Socket.io/WebSocket server để push notification.,Ân,P2,Khó,0%,,,
73,Communication,Email template service,Service gửi email (SendGrid/Nodemailer) cho các sự kiện.,Ân,P2,Trung bình,0%,,,
74,Communication,Thông báo qua Telegram cho Admin,Bot gửi tin nhắn cảnh báo hoặc thống kê nhanh cho Admin.,Ân,P3,Dễ,0%,,,
75,Communication,Chức năng Chat 1-1,Chat text giữa Client và Freelancer khi có Project.,Bảo,P2,Khó,0%,,,
76,Communication,Chức năng Chat nhóm Project,Group chat cho tất cả thành viên trong Project.,Bảo,P3,Khó,0%,,,
77,Communication,Gửi file trong Chat,Upload và gửi file đính kèm trong khung chat.,Sơn,P3,Trung bình,0%,,,
78,Communication,Trạng thái Online/Offline,Hiển thị chấm xanh trạng thái user đang online.,Ân,P3,Dễ,0%,,,
79,Support & Help,Trang FAQ CMS,Admin quản lý các câu hỏi thường gặp.,Bằng,P3,Dễ,0%,,,
80,Support & Help,Ticket hỗ trợ User,Form người dùng gửi yêu cầu hỗ trợ lỗi.,Bằng,P3,Trung bình,0%,,,
81,Backend,API Apply/Invite,Logic cho Broker apply và Client mời Broker.,Sơn,P1,Trung bình,0%,,,
82,Frontend,UI Recruitment Tab,Màn hình list applicants và nút Invite cho Client.,Sơn,P1,Trung bình,100%,,,
83,Notification,Notify Flow,Gửi alert cho Broker khi được mời.,Ân,P2,Trung bình,0%,,,
84,Request Lifecycle,Chuyển đổi Public/Private Request,Logic chuyển trạng thái giữa Public/Private Draft. Nếu chuyển sang Private thì tự động Deny các Broker đã apply trước đó.,Sơn,P1,Trung bình,0%,,,
85,Request Lifecycle,Broker Application Flow,"Broker gửi ""Apllycation"" để nhận xử lý Public Request. Client xem danh sách và CV Broker.",An,P1,Trung bình,0%,,,
86,Broker Workspace,Workspace thảo luận Spec (BA & Client),"Mở Chatbox riêng giữa Client & Broker để ""yap"" về yêu cầu kỹ thuật.",Sơn,P1,Khó,0%,,,
87,Broker Workspace,Công cụ soạn thảo Spec trực tuyến,"Form cho BA soạn Spec chi tiết (Overview, Roles, In-Scope/Out-Scope) trực tiếp trong Request.",An,P1,Trung bình,0%,,,
88,Broker Workspace,Nút Report Broker,Client có quyền Report nếu BA sủi hoặc trễ deadline soạn Spec.,Sơn,P1,Dễ,0%,,,
89,AI Integration,Tích hợp Gemini 1.5 Flash API,"Kết nối API, xây dựng Prompt phân tích ngữ nghĩa giữa Spec (BA soạn) và Profile Freelancer.",Sơn,P1,Khó,0%,,,
90,Matching Engine,Logic Pipeline 3 Lớp,Implement: Layer 1 (Hard Filter) -> Layer 2 (AI Score) -> Layer 3 (Weighted Final Score).,Sơn,P1,Khó,0%,,,
91,Matching Engine,Labeling System (Phân loại thẻ),"Logic tự động gán nhãn PERFECT MATCH (Xanh), POTENTIAL (Vàng), HIGH RISK (Đỏ) dựa trên Final Score và Trust Score.",Sơn,P1,Trung bình,0%,,,
92,Hiring Flow,Cơ chế mời 2 chiều (Invite/Apply),Cho phép Freelancer xem Spec (đã chốt) để Apply; BA & Client xem danh sách Matching để Invite.,Sơn,P1,Khó,0%,,,
93,Hiring Flow,Dashboard quản lý ứng viên,"Màn hình list các Freelancer đang thương lượng, hiển thị nhãn phân loại AI để BA/Client dễ chọn.",Sơn,P1,Trung bình,0%,,,
94,Client & Request Wizard,Dashboard Client,,Sơn,P1,Dễ,100%,,,
95,Freelancer UI,Dashboard Freelancer,,Bằng,,,0%,,,
96,,,,,,,,,,
